obs,sim1,sim2
367568,241837,172354
367896,242119,172673
368126,242377,173076
368658,243197,174300
369664,243462,175999
371118,244048,177514
371470,247520,178328
372479,247999,179490
377222,248926,179510
378846,250209,180724
379533,250891,181245
381513,253106,181321
384701,253499,183835
386209,254090,190021
388303,254305,192779
389443,255282,194401
390431,259181,196646
391049,260554,197757
392734,264169,199034
398401,265306,200432
398707,267022,201235
399689,271106,203028
400625,274451,203612
401087,277775,205292
402279,278380,205790
402743,284587,205825
403240,285399,207536
406226,286737,207947
408973,296528,208342
410488,298669,209507
411319,299320,210241
412303,300246,210415
412446,301025,210719
415383,314059,212060
416405,316393,215278
416579,316668,221300
417182,316699,221510
417627,318103,224240
420657,319981,227001
421224,320000,227039
423552,322257,230790
424715,323200,231404
425081,325860,233964
427250,329824,234727
427566,331725,235244
428252,335997,237008
430590,337597,238888
435261,343356,239245
435523,346412,239962
437568,365688,241201
439097,368169,243570
440481,372798,247020
440764,376870,251513
441097,380417,254027
442625,394200,264389
443692,395208,269846
443976,397041,273306
444398,401514,277593
444931,402404,278000
445963,402824,278638
446999,402969,279066
447552,409658,280674
448618,411313,283162
451637,411697,283720
452066,414689,287574
455073,423995,308744
455711,424754,310133
467302,429943,324684
467533,430409,415476
470728,435202,482469
470824,444754,1369868
471094,445936,2364492
472283,467879,2442620
472537,470006,2490359
473584,472003,2491194
473931,478422,2493908
474063,479985,2598630
475846,485881,2666821
477118,491625,2723806
