obs,individual
340928,203438
341585,203624
342250,204151
344365,205297
345319,208880
347083,209591
348393,209591
348757,210671
348789,213495
349242,213910
350632,215896
350717,223141
351110,224335
351137,225199
351263,226658
352140,228140
352776,228668
353217,228903
354532,230401
354754,231578
355554,231578
356075,231870
359611,233598
360953,233600
361436,233600
361890,234507
363515,235379
365860,236932
365927,237328
366414,239394
367568,241837
367896,242119
368126,242377
368658,243197
369664,243462
371118,244048
371470,247520
372479,247999
377222,248926
378846,250209
379533,250891
381513,253106
384701,253499
386209,254090
388303,254305
389443,255282
390431,259181
391049,260554
392734,264169
398401,265306
398707,267022
399689,271106
400625,274451
401087,277775
402279,278380
402743,284587
403240,285399
406226,286737
408973,296528
410488,298669
411319,299320
412303,300246
412446,301025
415383,314059
416405,316393
416579,316668
417182,316699
417627,318103
420657,319981
421224,320000
423552,322257
424715,323200
425081,325860
427250,329824
427566,331725
428252,335997
430590,337597
435261,343356
435523,346412
437568,365688
439097,368169
440481,372798
440764,376870
441097,380417
442625,394200
443692,395208
443976,397041
444398,401514
444931,402404
445963,402824
446999,402969
447552,409658
448618,411313
451637,411697
452066,414689
455073,423995
455711,424754
467302,429943
467533,430409
470728,435202
470824,444754
471094,445936
472283,467879
472537,470006
473584,472003
473931,478422
474063,479985
475846,485881
477118,491625
477527,500016
479546,503998
484643,507279
485929,520442
486522,530990
500687,537885
504123,542446
504223,543189
504319,543387
507196,558627
507378,559516
508247,566153
511036,568283
513868,572936
516158,599094
522244,605664
522544,607144
522581,609599
523908,617100
525897,632134
527405,645244
527854,646854
529625,666402
533368,671699
539850,672398
546660,680281
558244,689785
566069,693199
574238,693446
579211,696556
585035,719905
589539,722918
595621,731779
601479,735457
602789,743121
611582,745377
619357,760979
633858,762747
637167,769444
641391,809074
656270,810767
667841,823026
683204,873709
721877,876271
727343,1066237
739995,1067197
812375,1106796
818202,1235201
920307,2507610
966843,2946504
1285235,2956798
1429318,8490954
1857216,8725984
1857402,17807564
