simulated,observed
2661103,2015113
2671788,2015364
2679645,2021248
2681443,2055155
2707386,2058111
2716307,2084049
2763165,2093278
2777289,2097092
2835762,2108217
2864633,2116113
2870561,2137119
2872645,2159828
2928579,2168852
2941182,2170892
2955813,2179869
2978359,2184829
2989295,2185964
2999802,2194612
3034247,2213917
3077843,2217803
3091829,2230116
3112939,2245566
3160683,2274669
3163276,2288793
3189214,2355483
3268517,2367603
3307606,2379559
3312178,2387024
3331497,2397574
3349375,2398845
3533336,2422549
3539282,2436891
3581725,2489165
3592827,2494124
3613445,2495935
3679409,2531400
3681039,2542530
3754267,2553980
3780744,2620852
3832581,2675585
3836373,2686818
3873522,2698401
3927229,2715526
3943807,2738247
3944765,2754210
3962492,2860555
3982434,2880356
4002314,3048103
4011585,3237436
4125577,3536318
4155103,3542960
4155178,3669717
4255622,3675828
4522651,3836797
4529931,3936771
4633097,4204204
4744603,4305449
4824790,4513577
4874969,4838503
4897780,5631295
5094700,5892025
5094848,6364324
5878442,11150858
6268401,11534214
